IdentifiedProtocols 38
#MSBC_ID	App_ID	Sub_ID	Label 
0,	331,	0,	MySQL
1,	132,	0, 	Bittorrent
2,	130,	0,	iMESH
3,	303,	0,	PANDO	
4,	0,	0,	Windowsmedia
5,     	0,	0,	unknown
6,	20,	0,	SSH	
7,	28,	1	SMB
8,	152,	0,	MSN
9,	212 ,   0,	IPP
10,	148,	0,	SIP	
11,	1,	12,	MPEG
12,	5,	0,	DNS
13,	57,	0,	NTP
14,	326,	0,	GRE
15,	57,	0,	IRC
16,	121,	0,	SSL
17,	1,	0,	HTTP
18,	179,	0,	RDP
19,	131,	0,	DirectConnect
20,	125,	0,	RTP
21,	128,	0,	Gnutella
22,	127,	0,	eDonkey
23,	19,	0,	Mail_IMAP
24,	104,	0,	STUN
25,	155,	0,	yahoo
26,	120,	0,	SSDP
27,	81,	0,	Oscar
28,	28,	0,	NETBIOS
29,	332,	0,	TDS
30,	275,	1,	Flash
31,	86,	0,	ICMP
32,	18,	0,	MAIL_POP
33,	0,	0,	MMS
34,	10,	0,#	FTP
35,	26,	0,	SNMP
36,	15,	0,	MAIL_SMTP
37,	300,	0,	DirectDonwloadlink
